brand,menu,category,calories,protein,fat,carbs,sodium,allergens,source_url,source_date,verified,allergen_known,image_url,description,media_source_url,media_checked_at,allergy_source_url,price,price_note,price_source_url,price_checked_at
이디야,이디야키즈 뽀로로 오렌지,음료,45.0,0.0,0.0,9.0,10.0,,https://ediya.com/contents/drink.html,2026-08-11,True,False,,,,,,,매장별 확인,,
이디야,팝핑캔디,음료,33.0,0.0,0.0,8.0,1.0,우유,https://ediya.com/contents/drink.html,2026-08-11,True,True,,,,,,,매장별 확인,,
이디야,초코쿠키 아이스크림,음료,278.0,4.0,7.0,22.0,101.0,계란|우유|대두|밀,https://ediya.com/contents/drink.html,2026-08-11,True,True,,,,,,,매장별 확인,,
이디야,(L) HOT 레몬차,음료,229.0,0.0,0.0,46.0,10.0,,https://ediya.com/contents/drink.html,2026-08-11,True,False,,,,,,,매장별 확인,,
이디야,이디야키즈 뽀로로 사과매실,음료,45.0,0.0,0.0,9.0,15.0,,https://ediya.com/contents/drink.html,2026-08-11,True,False,,,,,,,매장별 확인,,
이디야,(L) 아망추 복숭아,음료,247.0,0.0,0.0,59.0,18.0,복숭아,https://ediya.com/contents/drink.html,2026-08-11,True,True,,,,,,,매장별 확인,,
이디야,(EX) 꿀복숭아 에이드,음료,288.0,1.0,0.0,62.0,24.0,복숭아,https://ediya.com/contents/drink.html,2026-08-11,True,True,,,,,,,매장별 확인,,
이디야,(EX) ICED 카푸치노,음료,186.0,9.0,6.0,12.0,124.0,우유,https://ediya.com/contents/drink.html,2026-08-11,True,True,,,,,,,매장별 확인,,
이디야,(L) HOT 쌍화차,음료,244.0,1.0,0.0,36.0,161.0,,https://ediya.com/contents/drink.html,2026-08-11,True,False,,,,,,,매장별 확인,,
이디야,(EX) 콜드브루 라떼,음료,214.0,10.0,7.0,15.0,160.0,우유,https://ediya.com/contents/drink.html,2026-08-11,True,True,,,,,,,매장별 확인,,
이디야,(EX) HOT 화이트 초콜릿,음료,634.0,15.0,21.0,79.0,335.0,우유|대두,https://ediya.com/contents/drink.html,2026-08-11,True,True,,,,,,,매장별 확인,,
이디야,이디야 감귤&한라봉 주스,음료,108.0,2.0,0.3,22.0,12.0,복숭아,https://ediya.com/contents/drink.html,2026-08-11,True,True,,,,,,,매장별 확인,,
이디야,이디야키즈 뽀로로 포도블루베리,음료,45.0,0.0,0.0,9.0,10.0,,https://ediya.com/contents/drink.html,2026-08-11,True,False,,,,,,,매장별 확인,,
이디야,냉동 바나나,음료,43.0,1.0,0.0,7.0,0.0,,https://ediya.com/contents/drink.html,2026-08-11,True,False,,,,,,,매장별 확인,,
이디야,(EX) ICED 달달커피,음료,471.0,2.0,9.0,41.0,13.0,우유,https://ediya.com/contents/drink.html,2026-08-11,True,True,,,,,,,매장별 확인,,
이디야,(L) HOT 초콜릿,음료,438.0,11.0,18.0,40.0,249.0,우유|대두,https://ediya.com/contents/drink.html,2026-08-11,True,True,,,,,,,매장별 확인,,
이디야,(EX) 유자몽 플랫치노,음료,500.0,1.0,0.0,109.0,22.0,,https://ediya.com/contents/drink.html,2026-08-11,True,False,,,,,,,매장별 확인,,
이디야,냉동 자몽,음료,29.0,0.0,0.0,4.0,0.0,,https://ediya.com/contents/drink.html,2026-08-11,True,False,,,,,,,매장별 확인,,
이디야,(L) ICED 레몬차,음료,229.0,0.0,0.0,46.0,10.0,,https://ediya.com/contents/drink.html,2026-08-11,True,False,,,,,,,매장별 확인,,
이디야,아몬드슬라이스,음료,59.0,3.0,0.0,0.0,0.0,,https://ediya.com/contents/drink.html,2026-08-11,True,False,,,,,,,매장별 확인,,
이디야,냉동망고,음료,52.0,1.0,0.0,11.0,0.0,,https://ediya.com/contents/drink.html,2026-08-11,True,False,,,,,,,매장별 확인,,
이디야,사양꿀,음료,49.0,0.0,0.0,8.0,0.0,,https://ediya.com/contents/drink.html,2026-08-11,True,False,,,,,,,매장별 확인,,
이디야,딸기 과육,음료,34.0,0.0,0.0,8.0,1.0,,https://ediya.com/contents/drink.html,2026-08-11,True,False,,,,,,,매장별 확인,,
이디야,(L) 아이스크림 딸기 라떼,음료,402.0,8.0,8.0,54.0,129.0,계란|우유,https://ediya.com/contents/drink.html,2026-08-11,True,True,,,,,,,매장별 확인,,
이디야,(L) ICED 초콜릿,음료,378.0,8.0,16.0,35.0,203.0,우유|대두,https://ediya.com/contents/drink.html,2026-08-11,True,True,,,,,,,매장별 확인,,
이디야,(EX) ICED 화이트 초콜릿,음료,518.0,10.0,17.0,70.0,245.0,우유|대두,https://ediya.com/contents/drink.html,2026-08-11,True,True,,,,,,,매장별 확인,,
이디야,(L) HOT 토피넛 라떼,음료,343.0,12.0,12.0,30.0,208.0,우유|대두|밀,https://ediya.com/contents/drink.html,2026-08-11,True,True,,,,,,,매장별 확인,,
이디야,연유,음료,49.0,1.0,0.0,8.0,11.0,우유|대두,https://ediya.com/contents/drink.html,2026-08-11,True,True,,,,,,,매장별 확인,,
이디야,이디야 콤부차 석류애플라임,음료,126.0,0.0,0.0,28.0,0.0,,https://ediya.com/contents/drink.html,2026-08-11,True,False,,,,,,,매장별 확인,,
이디야,카라멜 소스,음료,30.0,0.0,0.0,7.0,40.0,우유|대두,https://ediya.com/contents/drink.html,2026-08-11,True,True,,,,,,,매장별 확인,,
